"Index","SKY.Open","SKY.High","SKY.Low","SKY.Close","SKY.Volume","SKY.Adjusted"
"2021-04-26",45.150002,45.639999,44.849998,45.349998,289600,45.349998
"2021-04-27",45.5,46.299999,45.009998,45.029999,243500,45.029999
"2021-04-28",44.869999,44.93,43.939999,44.639999,227800,44.639999
"2021-04-29",45.310001,45.950001,44.830002,45.619999,264500,45.619999
"2021-04-30",44.810001,45.060001,43.860001,44.43,236700,44.43
"2021-05-03",45.029999,45.330002,44.490002,45.09,242300,45.09
"2021-05-04",44.619999,44.84,43.880001,44.27,331300,44.27
"2021-05-05",44.630001,44.630001,43.189999,43.41,308300,43.41
"2021-05-06",43.700001,43.860001,42.799999,43.650002,316700,43.650002
"2021-05-07",43.66,45.09,43.130001,44.689999,316500,44.689999
"2021-05-10",44.5,44.830002,42.869999,43.009998,297100,43.009998
"2021-05-11",41.919998,42.330002,41.16,41.529999,299100,41.529999
"2021-05-12",41.02,41.200001,39.119999,39.529999,485500,39.529999
"2021-05-13",39.799999,41.689999,39.75,41.380001,493700,41.380001
"2021-05-14",42.009998,42.18,41.02,42.099998,284400,42.099998
"2021-05-17",41.740002,41.740002,40.48,41.419998,159800,41.419998
"2021-05-18",41.470001,41.470001,40.209999,40.27,236100,40.27
"2021-05-19",39.34,41.060001,38.959999,41.029999,570800,41.029999
"2021-05-20",41.110001,41.93,41,41.560001,252800,41.560001
"2021-05-21",42.25,42.91,41.880001,42.040001,348400,42.040001
"2021-05-24",42.48,43.16,41.869999,42.450001,312000,42.450001
"2021-05-25",42.68,44.860001,42.68,43.779999,564900,43.779999
"2021-05-26",46.900002,52.27,46.450001,52.040001,1309600,52.040001
"2021-05-27",53.419998,53.509998,51.560001,51.639999,536800,51.639999
"2021-05-28",51.669998,51.669998,49.860001,50.650002,412200,50.650002
"2021-06-01",51.200001,53.099998,50.52,53.060001,487100,53.060001
"2021-06-02",53.110001,53.5,51.5,53.18,815600,53.18
"2021-06-03",52.889999,53.07,51.169998,51.73,373200,51.73
"2021-06-04",52.369999,52.849998,51.580002,52.720001,660700,52.720001
"2021-06-07",52.970001,53.900002,51.450001,52.040001,797300,52.040001
"2021-06-08",52.75,52.75,51.939999,52.200001,312200,52.200001
